Lyrics,Mood
"Une histoire qui tombe à l'eau
Quelques mots sur ton piano
C'est fini
C'est toute une vie
Qui s'assombrit

Je l'ai vu dans ton regard
J'ai senti ton désespoir
A quoi bon
Faire semblant
D'y croire

Ne retiens pas tes larmes
Laisses aller ton chagrin
C'est une page qui se tourne
Et tu n'y peux rien
Ne retiens pas tes larmes
Pleurer ça fait du bien
Et si tu as de la peine
Tu sais que je t'aime
Je ne serais jamais loin

Tu t'accroches à ton passé
Comme si tout s'était figé
Aujourd'hui
Il faut s'aider
Abandonner
La douleur qui s'installe
Cette absence qui fait si mal
N'aie pas peur
Écoutes ton coeur

Ne retiens pas tes larmes
Laisses aller ton chagrin
C'est une page qui se tourne
Et tu n'y peux rien
Ne retiens pas tes larmes
Pleurer ça fait du bien
Et si tu as de la peine
Tu sais que je t'aime
Je ne serais jamais loin

Ne retiens pas tes larmes
Laisse aller ton chagrin
Si tu as de la peine
Souviens-toi que je t'aime
Je ne serais jamais loin",Sad
"Casé dans des cases, fiché sur des fiches
Aux discours de bases et frond sur la fiche
Même si y'en a marre sans juger personne
Y'a qu'a seulement voir les clichés qu'on donne

Mais qui fait des histoires vraiment dans ce pays ?
Moi je viens bien de quelque part mais je suis ici
Je suis ici

Nouveau Français
Un Français nouveau
Nouveau Français
Sous le même drapeau

Sans même un besoin de reconnaissance
Mais ni plus ni moins qu'un enfant de la France
Qu'un enfant de la France, de la France, oh woah

Gêné par les gênes, miné par la mine
Les casseroles qu'ont trainent, c'est le coeur qui souligne
On a de la chance d'être là, faut pas qu'on oublie
Je viens bien d'un endroit mais je suis d'ici

Mais qui fait des histoires vraiment dans ce pays ?
Je viens bien de quelque part mais je suis ici
Je suis ici

Nouveau Français
Un Français nouveau
Nouveau Français
Sous le même drapeau

Sans même un besoin de reconnaissance
Mais ni plus ni moins qu'un enfant de la France
Qu'un enfant de la France, de la France

Nouveau Français
Un Français nouveau
Nouveau Français
Sous le même drapeau

Nouveau Français
Depuis le berceau
Du bon, du mauvais
Même d'autres défauts

Sans même un besoin de reconnaissance
Mais ni plus ni moins qu'un enfant de la France
Qu'un enfant de la France, de la France",Sad
"Ohh...

Chanter, chanter pour se dessiner un monde
C'est pas si loin le temps où je m'en allais
Errer pour sentir les mélodies qui m'inondaient d'espoir
Je chantais pour oublier

Tapis dans l'ombre, tu me regardes dans les yeux
Me prends par la main et me souris enfin
D'un geste tu m'apaises et me réchauffe un peu
Je suis bien, mais est-ce vraiment ce que je veux ?

Mais qu'est-ce que j'ai fait ? Où je vais ?
Ce poème est un adieu à ce que j'étais
Pourquoi moi ? Je ne sais pas
Quel est ce monde où tu m'emmènes ?
Et je revois le cours de ma vie
Je crains que rien ne soit plus pareil
Mais je ne regrette rien
Non, je ne regrette rien

Pleurer, pleurer, mes amis, mes illusions
Purifier derriére les murs d'une prison dorée
Mais garder l'envie, vivre ma passion
Qui sépare un écran de télévision

Sorti de l'ombre, je te regarde dans les yeux,
Et je te sens si fragile dans ton château d'argile
D'un geste tu me nargues et disparais un peu
Ainsi soit-il, car c'est vraiment ce que je veux !

Mais qu'est-ce que j'ai fait ? Où je vais ?
Ce poème est un adieu à ce que j'étais
Pourquoi moi ? Je ne sais pas
Quel est ce monde où tu m'emmènes ?
Et je revois le cours de ma vie
Je crains que rien ne soit plus pareil
Mais je ne regrette rien, oh 

Qu'est-ce qui m'arrive ? Je dérive
Et ce poème est un adieu à ce que j'étais
Pourquoi moi ? Je ne sais pas
Tout ce délire où tu m'emmènes
Et je revois le cours de ma vie
Je crains que rien ne soit plus pareil
Mais je ne regrette rien
Non, je ne regrette rien

Mais qu'est-ce que j'ai fait ? Où je vais ?
Ce poème est un adieu à ce que j'étais
Pourquoi moi ? Je ne sais pas
Quel est ce monde où tu m'emmènes ?
Et je revois le cours de ma vie
Je crains que rien ne soit plus pareil
Mais je ne regrette rien, ooh 

Qu'est-ce qui m'arrive ? Je dérive
Et ce poème est un adieu à ce que j'étais
Pourquoi moi ? Je ne sais pas
Tout ce délire où tu m'emmènes
Et je revois le cours de ma vie
Je crains que rien ne soit plus pareil
Mais je ne regrette rien, oh woah
Non, je ne regrette rien
Non, je ne regrette rien, oh-oh, oh-oh",Sad
"Le pardon commence où s'arrête la rancune
Il prend tout son sens quand il se mêle à l'amertume
Il nécesssite du courage, déchire mais pourtant soulage
Anéantit les outrages, illumine les visages

{Refrain:}
Pardonnez-moi
Mes faiblesses, mes faux pas
Et mes erreurs, qui n'en fait pas?
Mes silences, mes absences
Ma violence, mon arrogance
Pardonnez-moi mes faux pas
Et mes erreurs, qui n'en fait pas?
Mes silences, mes absences
Ma violence

Quant à la rancune elle ronge
Trouble même les songes
Elle réclame une sentence
Suggère la vengeance
La rancune flirte avec l'injustice
Elle tente d'assassiner les quelques liens qui lui résistent
Prisonnière du passé elle vient hanter les présents

{au Refrain}

Pourquoi nos coeurs sont endurcis?
Comme si on avait mis l'amour en sursis
Comme si l'on ignorait que le temps chasse
Souvent nous dépasse
Mais qu'est-ce qu'il nous reste?
Quand ceux qui nous ont blessés
Ceux qu'on croit détester sans jamais cesser d'aimer
Un jour disparaissent
Nos regrets, nos remords, nos douleurs et nos larmes
Ne pourront jamais les ranimer

{au Refrain}

Pardonnez-moi...",Sad
"(Kery James)
Tu peux pas t'sais, c'est profond sincère, c'est honnête ça
C'est Amel, moi j'respecte ça man
Moi j'respecte ça man

(Amel)
Au volant de ta vie
Tu veux dépasser le temps
Cours-tu après ta mort?
Mais la mort n'est jamais en retard
Tu sais souvent l'obstacle surgit
Surprenant, percurtant, perforant ton corps
Déchirant tes espoirs à jamais

Le danger
Tu l'as tant devisagé
Mais tu n'es que passager
Dans le véhicule de la vie

(Kery James et Amel)
(Refrain: x2)
C'est ça man
Kerry James et Amel
Nous ramènent
Le fond et la forme
Respecte ça man
C'est pour nos proches victimes d'accidents de moto ou d'auto
Qui nous manquent trop
Partis trop tôt

(Kery James)
Amel nous ramène, la profondeur, chante-leur, c'qui te tiens à coeur

(Amel)
Y'a ce mec inconscient
Qui veut épater sa copine, qui frime
Roule à près de 200
Puis se retrouve baignant dans son sang

Sa copine passe par le pare-brise
Son adolescence, il la brise
Puis vient pour lui le temps des remords
Il s'en sort vivant mais mort

(Au Refrain, x2)

(Amel)
Ta fin fut rapide mais la douleur de tes proches déconsumme lentement
Mais ils ne t'oublieront jamais
Tu sais, tu a laissé un vide
Il voudrait tant te donner de l'amour et de l'affection
Mais tu ne pourras plus jamais leur rendre

Le danger
A fini par te précéder
À d'autres tu as succédé
Sur cette photo tu es décédé

(Au Refrain, x3)

(Kery James)
Partis trop tôt
Amel, respecte ça man
Partis trop tôt
Tu peux pas t'sais ça
C'est sincère, profond, c'est honnête ça
Ça c'est Amel, moi j'respecte ça man

(Amel)
Respecte ça man",Happy
"Elle pleure, elle pleure, mais n'est jamais consolée.
Elle meurt, elle meurt, mais personne ne vient l'aider.
Personne ne vient l'aider (x2)
Trop jeune, trop pure, pour entendre ces injures.
Pour elle, c'est dur, trop de haine, trop de blessures.

{Refrain:}
Mais quand elle chante, elle se sent bien, elle se sent guérie.
Tout devient clair, elle se sent jolie.
Alors elle sourit.
Mais quand elle chante, elle donne enfin un sens à sa vie.
Sa tristesse devient mélancolie.
Alors elle sourit.

Peut-être qu'un jour, grandira la petite fille.
La joie, l'amour, viendront changer sa vie (x2)
Si jeune, si pure, le soir elle pense dans son lit.
A un futur, comme un film qu'elle se fait.

{au Refrain}

Quand elle chante, elle voyage vers d'autres lieux.
Quand elle chante, plus aucune larme dans ses yeux.

{au Refrain}",Happy
"J'ai pas l'âme en peine
Pas le cœur gros 
Je crois que je t'aime 
J'mets du sourire 
Partout dans les mots 
Je crois que je t'aime 

Non je ne me reconnais pas
Si je m'étais trompée sur moi

L'amour existe encore
Regarde-toi, regarde-moi,
Regarde-nous
J'ai changé de décor
Regarde-toi, regarde-moi,
Regarde-nous
Si tu aimes, si tu aimes, vas-y clape 
Si tu aimes, si tu aimes, vas-y clape 
Si tu aimes, si tu aimes, vas-y clape 
Si tu aimes, si tu aimes, vas-y clape 

J'crois plus au prince
Je veux pas de héros 
Mais toi je t'aime 
J'trouve sa bizarre 
J'vois pas tes défauts 
Je crois que je t'aime 

Non je ne me reconnais pas
Si je m'étais trompée sur moi

L'amour existe encore
Regarde-toi, regarde-moi,
Regarde-nous
J'ai changé de décor
Regarde-toi, regarde-moi, 
Regarde-nous

Si tu aimes, si tu aimes, vas-y clape
Si tu aimes, si tu aimes, vas-y clape 
Si tu aimes, si tu aimes, vas-y clape
Si tu aimes, si tu aimes, vas-y clape",Sad
"Tu serais fier si tu me voyais
Je ris je pleure je suis apaisée
La vie et moi tu sais
Ce n'est plus vraiment si compliqué
Mais je suis si seule et
J'ai besoin de toi pour avancer

Je ne veux pas vivre sans toi
Pas sans toi, pas sans toi
Je ne veux pas vivre sans toi
Pas sans toi, vivre sans toi
Sans toi ça ne marche pas
Sans toi ça ne marche pas
Je ne veux pas vivre

Je me souviens que tu me disais 
On ne gagne rien à vivre au passé
Et j'ai gardé tout sur le cœur
Et je ne t'ai jamais ""demandé?""
Du bonheur mais aujourd'hui j'ai changé

Je ne veux pas vivre sans toi
Pas sans toi, pas sans toi
Je ne veux pas vivre sans toi
Pas sans toi, vivre sans toi
Sans toi ça ne marche pas
Sans toi ça ne marche pas
Je ne veux pas vivre

A quoi bon lutter si tu ne veux plus me voir
Pourquoi guérir si je ne peux plus t'aimer
A quoi bon l'écrire si tu ne veux pas y croire
Pourquoi mentir je sais la fin de l'histoire

Je ne veux pas vivre sans toi
Pas sans toi, pas sans toi
Je ne veux pas vivre sans toi
Pas sans toi, vivre sans toi
Sans toi ça ne marche pas
Sans toi ça ne marche pas
Je ne veux pas vivre",Sad
"Si je fume
si je boit
si j'ai perdu du poids
si je sort qui je vois
si je l'aime si j'y crois
peut importe si j'ai mal
tampis sont les détails

ohouho j'aimerais juste qu'on me foute la paix 
ohouho j'ai déjà bien assez de peine
ohouho mais laissez moi chanter en paix
ohouhou moi je n'ai rien d'autre a vous donner 

qui je pris
qui je cogne
combien je gagne combien je donne
qu'on m' ""épille"" 
qu'on m'oppresse 
ils ont même mis mon ... dans la presse
peut importe si j'y pense
si j'men sort 
si j'avance

ohouho j'aimerais juste qu'on me foute la paix 
ohouho j'ai déjà bien assez de peine
ohouho mais laissez moi chanter en paix
ohouhou moi je n'ai rien d'autre a vous donner 

Amel aime
Amel perd
Amel sais
Amel créve
Amel bat
Amel rame
oui Amel Bent crie au scandale !
Amel ouhh
Amel tousse
Amel souffre
et vous n'en avez rien a foutre !

ohouho j'aimerais juste qu'on me foute la paix 
ohouho j'ai déjà bien assez de peine
ohouho mais laissez moi chanter en paix
ohouhou moi je n'ai rien d'autre a vous donner 

ohouho j'aimerais juste qu'on me foute la paix 
ohouho j'ai déjà bien assez de peine
ohouho mais laissez moi chanter en paix
ohouhou moi je n'ai rien d'autre a vous donner",Sad
"Si j'en crois les livres et ce que je vois
Tout s'efface, tout passe ou passera
Si j'en crois les discours autour de moi
J'oublierai jusqu'à ta voix

Si j'en crois les ombres et ces sombres mois
Nos impasses, le dégoût, les dégâts,
Si j'en crois mes larmes, les froids, le froid
Je me guérirai de toi

L'oubli me blesse autant que la mémoire
Les nuits me laissent changer notre histoire

Passent et repassent les saisons, les mois
Mais pas les ""si"", les ""pourquoi""

Si j'en crois nos promesses mille fois
Pauvres règnes, vaines reines, faux rois
Si j'en croyais même un signe de croix
Guérit-on jamais de ça?

L'oubli me blesse autant que la mémoire
Les nuits renaissent tes mots, ton regard

Mais l'oubli me blesse autant que la mémoire
Les nuits me laissent éperdue dans le noir

Moi j'ai tellement cru tes yeux
Cru tes mains
Si j'en crois ce vide en moi
Je ne crois plus rien",Sad
