Lyrics,Mood
Para mas luz marrón\nahí tenés a un hombre opa...  ,Sad
Es el creador redentor de todas las almas\nrio...  ,Sad
Algo se paso aqui por esta alma\nno recuerdo s...  ,Sad
"Claro es, verte tan herida.\nTe sorprende verm...  ",Sad
"Con tu rouge pintás todo, te verás más que aye...  ",Sad
Yo convivo con lo que critico \nno sé si es un...  ,Sad
Hoy te cantaré un secreto\nLa música que está ...  ,Sad
"Llama alarmas me llama, me esconde algo raro\n...  ",Sad
Como era de esperar \nla vida me ha gustado \n...  ,Sad
"Abre tu alma sunburst esta aqui, date cuenta n...  ",Sad
Hay un arbol que hasta el cielo\nllegara prote...  ,Sad
"Se alejará, o vendrá hacia aquí\nse alejara......  ",Sad
Viento seco mojas mi alma\nno. no ves tus mano...  ,Happy
Ahora te lo digo a versos\ny luego te lo expli...  ,Happy
No quedan rastros \nde lo que pasó\nNo quedan ...  ,Sad
Sol negro. campo quebrado\ngaucho de goma que ...  ,Sad
"Tok tok tok, justo aquí \ndecaigo yo\nCae un f...  ",Sad
Tropas de bronce\ntropas de bronce\ntropas de ...  ,Happy
Un lujo más \nsigo herido\na pesar de que ayer...  ,Sad
"Abre tus hojas, vuelve a nacer,\npiedra más pi...  ",Sad
"Lo ves, no dio lo que creías\nse calculó incie...  ",Sad
Siento que se aleja \nun poco antes de descarg...  ,Sad
"A través de un libro, como un padre les contab...  ",Happy
Cierra los ojos o vuelve tu cara hacia atrás \...  ,Sad
Aún siento en mi cuerpo el horror aquel \ncuan...  ,Sad
Todo comenzó cuando la noche dejaba de ser día...  ,Sad
A veces pienso si quejarme o no de esta extrañ...  ,Sad
Miles de restos infames del día anterior \nviv...  ,Sad
"Al borde de un precipicio sin luz, \nCabalgand...  ",Sad
Habéis dado en duro esta vez conmigo \nCreíste...  ,Sad
"Cuatas veces creiste, amigo, que llegaba el fi...  ",Happy
Un puñado de años atrás del presente \nun Dios...  ,Happy
Tiene de nuevo en sus manos el mismo poder \ny...  ,Sad
No es nada facil vivir en ocasiones \nno es ta...  ,Happy
"Se despertó aun velado, \ncuando un haz de dol...  ",Sad
A veces no se bién si serás tú u otro \nel que...  ,Sad
"Abre tus ojos y mírame, dime si ves algo que o...  ",Sad
Es tan largo el trecho que separa nuestro amor...  ,Happy
Ahora viene a mi memoria el recuerdo del que f...  ,Sad
Un fuego tibio nace de nuevo en mi interior \n...  ,Happy
Nadie es capaz de responder a la pregunta \nqu...  ,Sad
Pobre hombre aquel que pensó que podría cambia...  ,Sad
Estoy de sol a sol aquí \nsin tiempo ni medida...  ,Happy
Lejos de aquí creo que existe mi defensor de l...  ,Happy
#NAME?,Happy
Mi corazon no es normal\nno conoce un mas alla...  ,Happy
Sabes que                           \ncreo que...  ,Sad
Dime que debo hacer\nseguir so'ando\nrespirar ...  ,Sad
Dejame entrar a tu vida \ny construirte un mun...  ,Happy
Cerca de ti siento \nque mi alma se la lleva e...  ,Happy
Por que te vas así sin compasión\nsi sabes que...  ,Sad
El ritmo que traigo es azuca\nAzuca pa' ti\nEl...  ,Sad
Que te llamo que no olvido\nWhy no puedo estar...  ,Sad
Quien te va querer sin condiciones como yo\nQu...  ,Sad
Que yo vuelvo a recibirte\nWhy otra vez a pedi...  ,Sad
"Porque se fue de mi, no dijo a dios\nPorque se...  ",Sad
Mi corazon no es normal\nno conoce un mas alla...  ,Sad
como saber\n\ncomo saber lo que sentias por mi...  ,Sad
Siento que mi corazón no existe ya ninguna ilu...  ,Sad
Sabes que\nyo creo que me enamore\nque tan sol...  ,Sad
Dime que debo hacer\nseguir soñando\nrespirar ...  ,Sad
Dejame entrar a tu corazon\npoquito a poco has...  ,Happy
Déjame entrar a tu vida\ny construirte un mund...  ,Sad
Cerca de ti siento\nque mi alma se la lleva el...  ,Happy
Por que te vas así? Sin compasión Si sabes que...  ,Sad
Nada detiene nuestros pasos firmes\nSomos verd...  ,Happy
Solo con nuestro deseo\nEse compaero fiel\nRev...  ,Happy
"Indios, indios; cultura herida, cultura sangra...  ",Sad
"Amigos fieles hoy,\nalientan con su canto,\nno...  ",Happy
La maza sigue creciendo\ny sobre viejas ruinas...  ,Happy
